Participant Public ID,Participant Private ID,genderRU-quantised,DoBRU-year,educationRU-quantised
w96zxzom,6905533.0,2,20.0,3
zu8icgg1,6908178.0,2,28.0,5
0pz0b5pc,7079747.0,2,19.0,5
f4mqa2t1,7079758.0,2,21.0,4
ooow2f93,7081909.0,2,20.0,3
36vy1hj0,7088082.0,1,,3
73squ06q,7089810.0,2,19.0,6
m9tqrb83,7092702.0,2,19.0,5
gtz9hdm0,7098218.0,2,18.0,3
mb9258vf,7098228.0,2,18.0,3
1vwa9zu0,7099724.0,2,19.0,5
mb0pshap,7103266.0,1,20.0,3
ttzargm5,7104333.0,1,18.0,5
hjs05elp,7105841.0,2,19.0,3
0hjwcx6v,7105935.0,2,19.0,5
4cv46tvn,7106086.0,1,19.0,3
y6c0zfri,7112357.0,1,19.0,5
pizf0xl9,7112409.0,2,18.0,3
0uoo5kh7,7181402.0,2,19.0,3
0p7anajn,7172605.0,2,19.0,6
z42xlm7e,7166368.0,2,21.0,5
xlb6p1dl,7164473.0,2,19.0,3
u057m3ng,7164279.0,2,19.0,5
9w1nf1v4,7163457.0,2,20.0,3
1rqi42j1,7155088.0,2,19.0,3
wnqj5z4k,7121562.0,2,18.0,6
r4sljsxi,7113114.0,2,19.0,5
cvnto96v,7111110.0,2,19.0,6
yh2q7t42,7106371.0,2,18.0,3
4xa77yhr,7104869.0,1,18.0,3
b5crcyvi,7104366.0,1,18.0,6
h9zvnfom,7104367.0,1,18.0,3
k3csne5w,7103320.0,2,19.0,5
okzx8a7a,7103065.0,1,19.0,3
yf4a131x,7100652.0,2,18.0,3
hmum7vgx,7095819.0,2,21.0,5
sae8jgpu,7094176.0,2,20.0,6
sw6vfxhc,7094079.0,2,19.0,5
jk358pc7,7093847.0,1,18.0,3
ml6fblps,7093782.0,2,18.0,3
acjqdb3l,7092846.0,2,18.0,3
twc3nzbp,7092712.0,2,33.0,5
u0d4zq5g,7089327.0,2,22.0,3
th29xh3g,7087745.0,1,19.0,3
jjmyn21n,7087347.0,2,19.0,3
lfgfpb3m,7086244.0,2,19.0,6
p1g1c64l,7085219.0,2,18.0,3
0yk9ahe7,7081880.0,2,19.0,5
oa55ay3d,7080686.0,1,18.0,6
uge0tm08,7080494.0,2,20.0,5
8upkr85m,7080178.0,2,19.0,5
su0ury6k,7080121.0,1,18.0,3
1zwzs6za,7080093.0,2,19.0,3
upwdqymh,7079176.0,2,19.0,5
z7gqql7h,7079159.0,2,19.0,3
7twy19yo,7079134.0,1,18.0,5
vtu3rzu1,6915128.0,2,26.0,7
cfewczy0,6908721.0,2,22.0,6
g745k5aw,6906816.0,2,20.0,5
8kcn2jh1,6902731.0,2,24.0,7
4uswuqa3,6902485.0,2,18.0,3
em3z5ncy,6902136.0,1,33.0,5
